date,lkid,sector,analyst,pal,exposure,daily_return
2018-02-01,C_US,Finance,Alice,206300,4126000.0,0.0036336971421970835
2018-02-01,IBM_US,Information Technology,Alice,238600,3976666.667,0.0042026182168115565
2018-02-01,XOM_US,Energy,Bob,378500,3154166.667,0.006666768629770219
2018-02-02,C_US,Finance,Alice,175355,4301355.0,0.015577649130716003
2018-02-02,IBM_US,Information Technology,Alice,229056,4205722.667,0.020348173700694503
2018-02-02,XOM_US,Energy,Bob,208175,3362341.667,0.018493211529678675
2018-02-05,C_US,Finance,Alice,-247560,4053795.0,-0.020856959640044342
2018-02-05,IBM_US,Information Technology,Alice,7158,4212880.667,0.0006030623570182477
2018-02-05,XOM_US,Energy,Bob,-321725,3040616.667,-0.027105369769725586
2018-02-06,C_US,Finance,Alice,154725,4208520.0,0.013683647280857502
2018-02-06,IBM_US,Information Technology,Alice,157476,4370356.667,0.013926941600906875
2018-02-06,XOM_US,Energy,Bob,287660,3328276.667,0.025440219594839032
2018-02-07,C_US,Finance,Alice,88709,4297229.0,0.007450059431644168
2018-02-07,IBM_US,Information Technology,Alice,243372,4613728.667,0.02043914218397349
2018-02-07,XOM_US,Energy,Bob,-283875,3044401.667,-0.023840710876664013
